area_id,stop_id
6,82
6,83
6,84
6,85
6,88
6,89
6,90
5,91
5,92
5,93
5,94
5,95
5,96
8,97
5,99
5,100
5,101
5,102
5,103
5,104
5,105
5,106
5,107
5,108
5,109
5,110
5,111
5,112
5,113
5,114
5,115
5,116
5,117
5,118
5,119
5,120
5,121
5,122
5,123
5,124
5,125
5,126
5,127
5,128
5,129
5,130
5,131
5,132
5,133
5,134
5,135
5,136
5,137
5,138
5,139
5,140
5,141
5,142
5,143
5,144
9,145
9,147
9,148
9,149
9,150
9,151
9,152
9,153
9,154
9,155
9,156
9,157
9,158
9,159
9,160
9,161
9,162
9,163
9,164
9,165
9,166
9,167
9,168
9,170
9,172
9,173
9,174
9,175
9,176
9,177
9,178
9,179
11,180
5,181
5,182
5,183
5,184
3,185
3,188
3,189
3,190
3,191
3,192
3,193
3,194
3,195
3,196
3,197
3,198
3,199
3,200
3,201
3,202
3,203
3,204
3,205
7,206
7,207
7,208
7,209
7,210
5,214
5,215
5,216
5,217
5,218
5,220
5,221
5,222
5,223
5,224
5,225
5,226
5,227
5,228
5,229
5,230
5,231
5,232
9,234
9,235
9,236
9,237
9,238
9,239
9,240
9,241
9,242
9,243
9,244
9,246
9,247
9,248
9,249
9,250
9,251
7,252
7,253
7,254
6,256
6,257
6,258
6,259
6,260
6,261
6,262
6,263
6,264
6,265
6,266
6,267
6,268
6,269
6,270
6,271
6,272
6,273
6,274
6,275
6,276
6,277
6,278
6,281
6,282
6,287
6,288
6,289
6,291
6,296
6,297
6,298
6,299
6,300
6,301
6,302
6,303
6,304
6,305
6,306
6,307
6,309
6,310
6,311
6,312
6,313
6,316
6,317
6,318
6,319
6,320
6,321
6,322
6,323
6,324
6,325
6,326
6,327
3,334
1,335
1,336
1,337
1,338
1,339
1,340
1,341
1,342
1,343
1,344
1,345
1,346
1,347
1,348
1,349
1,350
1,351
1,352
1,353
1,354
1,355
1,356
1,357
1,358
1,359
1,360
1,361
1,362
3,363
3,364
3,365
3,366
3,367
6,368
7,370
7,371
7,375
4,376
4,378
10,379
10,380
10,381
4,382
4,383
4,384
7,386
7,387
7,388
7,390
2,391
2,393
2,394
7,395
6,397
11,399
5,401
5,402
5,403
5,404
5,405
7,410
9,413
7,415
7,416
5,418
7,419
6,420
4,422
6,444
6,450
6,451
7,452
7,453
6,479
6,480
6,481
6,482
6,483
6,484
6,485
6,488
6,489
6,490
6,491
6,492
6,493
6,494
6,495
6,496
2,497
7,508
7,510
10,514
4,515
