stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,zone_id
413,"3578","El Camino Real & Maria",35.388722,-120.613256,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=413",9
415,"3579","Monterey & Grand",35.289536,-120.650864,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=415",7
416,"3580","Grand & Abbott",35.291390,-120.653049,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=416",7
418,"3600","North County Transit Center",35.622423,-120.688066,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=418",5
419,"3692","Higuera & Suburban",35.244527,-120.675266,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=419",7
420,"3781","Pismo Beach Premium Outlets",35.136274,-120.626463,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=420",6
422,"3695","Thompson & Cimarron",35.071771,-120.513571,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=422",4
444,"3853","Oceano Airport",35.104587,-120.624791,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=444",6
450,"3893","13th & Wilmar",35.104232,-120.615782,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=450",6
451,"3892","James Way & Ventana",35.137529,-120.624669,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=451",6
452,"3643","Santa Rosa & Higuera",35.281904,-120.659246,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=452",7
453,"3644","Santa Rosa & Murray",35.290697,-120.667119,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=453",7
479,"3824","Wilmar & 19th",35.104083,-120.610937,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=479",6
480,"3887","Highway 1 & 21st",35.098083,-120.608694,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=480",6
481,"3891","Highway 1 & 25th St",35.098079,-120.601519,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=481",6
482,"3900","Elm & The Pike",35.106667,-120.600472,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=482",6
483,"3775","Oak Park & Newport",35.125194,-120.608889,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=483",6
484,"3804","Oak Park & Grand",35.121405,-120.608974,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=484",6
485,"3811","Oak Park & Newport",35.124694,-120.608750,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=485",6
488,"3816","Fair Oaks & Traffic Way",35.119500,-120.577067,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=488",6
489,"3817","Arroyo Grande High School",35.116250,-120.583000,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=489",6
490,"3818","Fair Oaks & Halcyon",35.112808,-120.591342,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=490",6
491,"3819","Elm & Fair Oaks",35.112472,-120.600667,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=491",6
492,"3820","Elm & The Pike",35.106028,-120.600583,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=492",6
493,"3822","19th & Wilmar",35.103861,-120.610693,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=493",6
494,"3823","Wilmar & 13th",35.104167,-120.615639,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=494",6
495,"3825","13th & Farroll",35.112083,-120.615833,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=495",6
496,"3826","13th & Trouville",35.116461,-120.615543,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=496",6
497,"3547","Cuesta College",35.327184,-120.740882,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=497",2
508,"3707","Higuera & Prado",35.254040,-120.669244,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=508",7
510,,"Higuera & Prado",35.254116,-120.669411,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=510",7
514,,"Santa Maria Transit Center",34.946267,-120.431173,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=514",10
515,"3694","North Thompson Avenue & West Chestnut Street",35.044210,-120.477640,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=515",4
